SITE_ID,TOWER_TX,TOWER_RX,BANDWIDTH,
700696,865.3625,820.3625,25, 
700696,866.3625,821.3625,25, 
700696,867.3625,822.3625,25, 
700699,865.2375,820.2375,25, 
700699,866.2375,821.2375,25, 
700699,867.2375,822.2375,25, 
700699,868.2375,823.2375,25, 
700700,865.6375,820.6375,25, 
700700,866.6375,821.6375,25, 
700700,867.6375,822.6375,25, 
700700,868.6375,823.6375,25, 
700704,852.7875,928.7875,25,
700789,865.8875,820.8875,25, 
700789,866.8875,821.8875,25, 
700789,867.8875,822.8875,25, 
700810,928.1375,852.1375,25,
700816,865.2625,820.2625,25, 
700816,866.2625,821.2625,25, 
700816,867.2625,822.2625,25, 
700816,869.0125,824.0125,25, 
9004130,847.8,,200, 
9008238,865.2125,820.2125,25, 
9008238,866.2125,821.2125,25, 
9008238,867.2125,822.2125,25, 
9008238,868.2125,823.2125,25, 
9008238,869.2125,824.2125,25, 
9008241,865.7375,820.7375,25, 
9008241,866.7375,821.7375,25, 
9008241,867.7375,822.7375,25, 
9008241,868.8375,823.8375,25, 
9008241,869.8375,824.8375,25, 
9008246,865.6375,820.6375,25, 
9008246,866.6375,821.6375,25, 
9008246,867.6375,822.6375,25, 
9008246,868.6375,823.6375,25, 
9008349,865.1625,820.1625,25, 
9008349,866.1625,821.1625,25, 
9008349,867.1625,822.1625,25, 
9008349,868.1625,823.1625,25, 
9008350,866.1125,821.1125,25, 
9008350,867.1125,822.1125,25, 
9008350,868.1125,823.1125,25, 
9008350,869.1125,824.1125,25, 
9010644,846.6,,400, 
9010644,846.2,,200,
9010644,847.2,,200,
9013277,846.6,,400,
10004910,848.8,,250,
,865.4125,820.4125,25, 
,865.4125,865.4125,25, 
,865.4125,820.4125,25, 
,865.9125,820.9125,25, 
,865.9125,865.9125,25, 
,866.4125,821.4125,25, 
,866.4125,866.4125,25, 
,866.4125,821.4125,25, 
,866.6125,866.6125,25, 
,866.7875,866.7875,25, 
,866.9125,821.9125,25, 
,866.9125,866.9125,25, 
,867.4125,822.4125,25, 
,867.4125,867.4125,25, 
,867.4125,822.4125,25, 
,867.6125,867.6125,25, 
,867.7875,867.7875,25, 
,867.9125,822.9125,25, 
,867.9125,867.9125,25, 
,868.4125,823.4125,25, 
,868.4125,868.4125,25, 
,868.4125,823.4125,25, 
,868.7875,868.7875,25, 
,868.9125,823.9125,25, 
,868.9125,868.9125,25, 
,869.4125,824.4125,25, 
,869.4125,869.4125,25, 
,869.9125,824.9125,25, 
,869.9125,869.9125,25, 
